STT	Vấn đề	Mô tả nội dung	Điểm cần chốt	Trạng thái	Ngày gửi yêu cầu	Nội dung VNA phản hồi	Nhóm phân hệ	Phân loại
1	Mốc thời gian upload OFP và phân loại chuyến tương ứng	Trong buổi khảo sát ngày 11/06, các mốc 90/130/180/200 phút trước giờ cất cánh được nhắc đến để upload OFP, tương ứng với từng loại chuyến (quốc nội/quốc tế/đường dài). Đề nghị xác nhận chính xác từng mốc và phân loại chuyến áp dụng.	Bốn mốc thời gian upload OFP (90/130/180/200 phút) áp dụng cho từng phân loại chuyến nào và quy tắc xác định loại chuyến để chọn mốc?	Mở			PH1	Nghiệp vụ
2	Phân loại NOTAM ba nhóm và quy tắc đánh giá ảnh hưởng	NOTAM hiện được hiểu là gồm ba nhóm (sân bay/vùng trời/en-route). Đề nghị xác nhận phân loại chi tiết, quy tắc đánh giá mức ảnh hưởng tới chuyến (đỏ/vàng/xanh) và cách tách buổi làm việc riêng nếu cần.	Phân loại NOTAM thành những nhóm nào (sân bay/vùng trời/en-route hay khác), và quy tắc đánh giá ảnh hưởng tới chuyến bay cụ thể như thế nào?	Mở			PH1	Nghiệp vụ
3	Danh mục Flight Type Code đầy đủ và yêu cầu STS/HEAD	Trong buổi 11/06 chiều có nhắc các code Flight Type O/Z/G/H/A/P/V/S… liên quan đến claim phí khí thải (CORSIA/EU ETS) và yêu cầu STS/HEAD trong ATC FPL. Đề nghị cung cấp danh mục đầy đủ và quy tắc code nào cần STS/HEAD.	Danh mục đầy đủ Flight Type Code đang dùng và code nào cần STS/HEAD trong ATC FPL?	Mở			PH1	Nghiệp vụ
4	Hậu tố Z trên Flight Number Netline	Cột Flight Number Netline có hậu tố Z (phân biệt với hậu tố D = delay sang ngày sau). Đề nghị xác nhận định nghĩa và quy tắc sử dụng hậu tố Z.	Hậu tố Z trên Flight Number Netline mang ý nghĩa gì, phân biệt thế nào với hậu tố D?	Mở			PH1	Thuật ngữ/ASR
5	"Quả đấy dầu và ""anh Ngọt"" — nguồn bảng dầu Lido"	"ASR có thể đọc lệch các cụm ""quả đấy dầu"" và ""anh Ngọt"" liên quan đến bảng dầu Lido. Đề nghị xác nhận danh mục/nguồn bảng dầu Lido chính xác."	"Cụm ""quả đấy dầu"" và ""anh Ngọt"" thực chất là gì trong nghiệp vụ bảng dầu Lido?"	Mở			PH1	Nghiệp vụ
6	Enum LEG STATE màn Flight Dispatch	"Sheet ""Màn hình Flight Dispatch"" đề xuất tạm các trạng thái GRD/BRD/OUT/ENR/IN/ARR theo mốc ACARS OUT/OFF/ON/IN. Đề nghị xác nhận danh sách đầy đủ, định nghĩa từng trạng thái và quy tắc chuyển trạng thái."	Danh sách trạng thái LEG STATE đầy đủ (GRD/BRD/OUT/ENR/IN/ARR hay khác), định nghĩa và quy tắc chuyển trạng thái theo mốc ACARS như thế nào?	Mở			PH1	Nghiệp vụ
7	Cấu trúc 5 thành phần trong file ATC FPL	Để xây thuật toán so khớp ATC FPL và hiển thị cập nhật một phần, cần biết file ATC FPL gồm 5 thành phần nào và quy tắc bóc tách.	Năm thành phần trong file ATC FPL là gì, và quy tắc bóc tách từng thành phần như thế nào?	Mở			PH1	Nghiệp vụ
8	Phương án parse METAR/SPECI	Cần xác định phương án parse METAR/SPECI (tự xây hay dùng thư viện/dịch vụ thứ ba), bao gồm độ chính xác và bản quyền.	Phương án parse METAR/SPECI sẽ tự xây hay dùng thư viện/dịch vụ thứ ba, và yêu cầu độ chính xác/bản quyền ra sao?	Mở			PH1	Nghiệp vụ
9	Bảng ngưỡng cảnh báo lệch tải	Cần cung cấp bảng ngưỡng lệch tải chi tiết theo loại tàu × dải giờ bay × ngưỡng trên/dưới để cấu hình cảnh báo trong TOSS.	Bảng ngưỡng cảnh báo lệch tải chi tiết (loại tàu × dải giờ bay × ngưỡng trên/dưới) cụ thể là gì?	Mở			PH1	Nghiệp vụ
10	Ba Cost Index (CI) trong OFP Lido	"Mẫu OFP-SGN-SFO-RECLEARANCE cho thấy Lido có đủ 3 CI (Climb/Cruise/Descend) cho OFP đường dài, mâu thuẫn với quan điểm trước ""Lido chỉ trả 1 CI"". Đề nghị xác nhận điều kiện để Lido trả đủ 3 CI."	Điều kiện để Lido trả đủ 3 Cost Index (Climb/Cruise/Descend) thay vì 1 là gì?	Mở			PH1	Nghiệp vụ
